발행기관코드	GB035
표준코드	KR103501GA68
채권분류	국고채권 (111100)
상장여부	상장
상장일	2020-03-31
한글종목명	국고채권 01000-2306(20-3)
영문종목명	KOREA TREASURY BOND 01000-2306(20-3)
채권유형	국채
발행금액	1.9722E+13
발행통화	원화
특이채권유형	일반채권
보증담보	무보증
이자지급방법	고정금리형-이표채
발행방법	공모-직접발행
크라우드펀딩여부	NO
표면이자율 확정여부	확정
표면이자율(%)	1
발행가액(%)	100
특이발행조건	없음
옵션	없음
상환방법	만기상환
물가연동구분	NO
신종자본증권여부	NO
유동화	없음
휴무관련(원금)	직전영업일(경과이자없음)
이자지급기준	없음
휴무관련(이자)	직전영업일(경과이자없음)
이자지급기준	없음
이자 선/후급	후급
이자지급기준일구분	발행일
이자원단위 미만처리	절사
단수일이자기준	없음
발행전국채거래	선매출시장
매출형태	선매출
선/후매출일	2020-03-31
보장수익률(%)	없음
추가수익률(%)	없음
(전자)등록기관	한국은행
대표주관회사	없음
신용평가기관1	없음
신용평가기관2	없음
신용평가기관3	없음
신용평가기관4	없음
CFI	DBFUFB
FISN	KTB/1.0 Bd 20230610 Sr Ungtd
권리구분	없음
누적여부	없음
행사조건	없음
행사가격	없음
행사비율(%)	없음
행사개시일	없음
행사종료일	없음
납입방법	없음
청구기관	없음
배당기산일구분	없음
이자율결정기준금리	
기타기준금리	없음
이자율결정시점	없음
최대이자율(%)	없음
Call 주체	없음
Call 사유	없음
